Date,Dow Jones,SP 500,Nasdaq
12/2/19,27783.03906,3113.870117,8309.259766
12/3/19,27502.81055,3093.199951,8254.740234
12/4/19,27649.7793,3112.76001,8296.530273
12/5/19,27677.78906,3117.429932,8308.400391
12/6/19,28015.06055,3145.909912,8397.370117
12/9/19,27909.59961,3135.959961,8362.740234
12/10/19,27881.7207,3132.52002,8354.290039
12/11/19,27911.30078,3141.629883,8402.610352
12/12/19,28132.05078,3168.570068,8466.889648
12/13/19,28135.38086,3168.800049,8487.709961
12/16/19,28235.89063,3191.449951,8570.330078
12/17/19,28267.16016,3192.52002,8575.700195
12/18/19,28239.2793,3191.139893,8580.620117
12/19/19,28376.96094,3205.370117,8641.290039
12/20/19,28455.08984,3221.219971,8678.490234
12/23/19,28551.5293,3224.01001,8696.009766
12/24/19,28515.44922,3223.379883,8699.509766
12/26/19,28621.39063,3239.909912,8778.30957
12/27/19,28645.25977,3240.02002,8770.980469
12/30/19,28462.14063,3221.290039,8709.730469
12/31/19,28538.43945,3230.780029,8733.070313
1/2/20,28868.80078,3257.850098,8872.219727
1/3/20,28634.88086,3234.850098,8793.900391
1/6/20,28703.38086,3246.280029,8848.519531
1/7/20,28583.67969,3237.179932,8846.450195
1/8/20,28745.08984,3253.050049,8912.370117
1/9/20,28956.90039,3274.699951,8989.629883
1/10/20,28823.76953,3265.350098,8966.639648
1/13/20,28907.05078,3288.129883,9070.650391
1/14/20,28939.66992,3283.149902,9033.419922
1/15/20,29030.2207,3289.290039,9035.669922
1/16/20,29297.64063,3316.810059,9125
1/17/20,29348.09961,3329.620117,9173.730469
1/21/20,29196.03906,3320.790039,9166.629883
1/22/20,29186.26953,3321.75,9188.580078
1/23/20,29160.08984,3325.540039,9216.980469
1/24/20,28989.73047,3295.469971,9141.469727
1/27/20,28535.80078,3243.629883,8952.179688
1/28/20,28722.84961,3276.23999,9090.929688
1/29/20,28734.44922,3273.399902,9101.610352
1/30/20,28859.43945,3283.659912,9136.089844
1/31/20,28256.0293,3225.52002,8991.509766
2/3/20,28399.81055,3248.919922,9126.230469
2/4/20,28807.63086,3297.590088,9334.05957
2/5/20,29290.84961,3334.689941,9367.480469
2/6/20,29379.76953,3345.780029,9445.919922
2/7/20,29102.50977,3327.709961,9401.099609
2/10/20,29276.82031,3352.090088,9516.839844
2/11/20,29276.33984,3357.75,9517.860352
2/12/20,29551.41992,3379.449951,9613.200195
2/13/20,29423.31055,3373.939941,9595.700195
2/14/20,29398.08008,3380.159912,9623.580078
2/18/20,29232.18945,3370.290039,9629.799805
2/19/20,29348.0293,3386.149902,9718.730469
2/20/20,29219.98047,3373.22998,9627.830078
2/21/20,28992.41016,3337.75,9446.69043
2/24/20,27960.80078,3225.889893,9079.629883
2/25/20,27081.35938,3128.209961,8834.870117
2/26/20,26957.58984,3116.389893,8873.759766
2/27/20,25766.64063,2978.76001,8436.669922
2/28/20,25409.35938,2954.219971,8461.830078
3/2/20,26703.32031,3090.22998,8877.980469
3/3/20,25917.41016,3003.370117,8594.490234
3/4/20,27090.85938,3130.120117,8949.280273
3/5/20,26121.2793,3023.939941,8671.660156
3/6/20,25864.7793,2972.370117,8530.339844
3/9/20,23851.01953,2746.560059,7948.029785
3/10/20,25018.16016,2882.22998,8372.269531
3/11/20,23553.2207,2741.379883,8006.120117
3/12/20,21200.61914,2480.639893,7263.649902
3/13/20,23185.61914,2711.02002,7995.259766
3/16/20,20188.51953,2386.129883,7020.379883
3/17/20,21237.38086,2529.189941,7473.950195
3/18/20,19898.91992,2398.100098,7175.180176
3/19/20,20087.18945,2409.389893,7288.52002
3/20/20,19173.98047,2304.919922,6994.290039
3/23/20,18591.92969,2237.399902,7006.919922
3/24/20,20704.91016,2447.330078,7553.830078
3/25/20,21200.55078,2475.560059,7469.620117
3/26/20,22552.16992,2630.070068,7897.129883
3/27/20,21636.7793,2541.469971,7588.370117
3/30/20,22327.48047,2626.649902,7889.009766
3/31/20,21917.16016,2584.590088,7813.5
4/1/20,20943.50977,2470.5,7486.290039
4/2/20,21413.43945,2526.899902,7635.660156
4/3/20,21052.5293,2488.649902,7528.109863
4/6/20,22679.99023,2663.679932,8081.660156
4/7/20,22653.85938,2659.409912,8049.310059
4/8/20,23433.57031,2749.97998,8229.540039
4/9/20,23719.36914,2789.820068,8238.530273
4/13/20,23390.76953,2761.629883,8332.740234
4/14/20,23949.75977,2846.060059,8692.160156
4/15/20,23504.34961,2783.360107,8591.959961
4/16/20,23537.67969,2799.550049,8757.830078
4/17/20,24242.49023,2874.560059,8832.410156
4/20/20,23650.43945,2823.159912,8726.509766
4/21/20,23018.88086,2736.560059,8403
4/22/20,23475.82031,2799.310059,8664.639648
4/23/20,23515.25977,2797.800049,8641.5
4/24/20,23775.26953,2836.73999,8786.599609
4/27/20,24133.7793,2878.47998,8837.660156
4/28/20,24101.55078,2863.389893,8677.599609
4/29/20,24633.85938,2939.51001,8982.759766
4/30/20,24345.7207,2912.429932,9000.509766
5/1/20,23723.68945,2830.709961,8718.179688
5/4/20,23749.75977,2842.73999,8834.110352
5/5/20,23883.08984,2868.439941,8930.620117
5/6/20,23664.64063,2848.419922,8984.860352
